Sample_ID,category1,category2,Kingdom,Phylum,Class,Order,value
X8,water,lab water,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,0
X9,water,lab water,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,0
AA100,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA101,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA103,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA106,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA107,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA108,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA109,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA112,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA113,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA62,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA63,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA65,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA66,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA67,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA79,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA82,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA84,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA85,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA88,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA89,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA90,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA91,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA94,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA95,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA96,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA98,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0.027027027
AA99,water,field water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA1,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA10,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA11,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA12,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA13,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA15,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA17,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA18,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA2,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA20,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA22,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA23,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA24,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA26,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA27,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA28,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA29,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA3,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA30,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA31,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA32,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA4,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA5,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA6,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA7,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA8,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
LAA9,larvae,field larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
X1,larvae,lab larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
X10,water,lab water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
X11,water,lab water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0.046905913
